soc,title,role,task_id,task,importance,K,I,P,A,C,T,R,rationale
11-9021.00,Construction Managers,General Contractor,20332,"Plan, schedule, or coordinate construction project activities to meet deadlines.",4.75,10,20,45,5,5,5,10,"Planning, scheduling, and coordinating construction activities is primarily about controlling a complex workflow with interdependencies (Process), supported by judgment on sequencing and trade-offs (Interpretation) and accountability to stakeholders (Relational)."
11-9021.00,Construction Managers,General Contractor,3326,"Prepare and submit budget estimates, progress reports, or cost tracking reports.",4.65,20,30,25,5,5,10,5,"Preparing budget estimates and cost tracking reports requires synthesizing project data and exercising judgment (I), domain knowledge of construction costs (K), and controlling the reporting workflow (P), with moderate technical skill in formatting and calculating figures (T)."
11-9021.00,Construction Managers,General Contractor,20336,"Interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",4.6,30,35,5,5,10,0,15,"This task is dominated by Interpretation (synthesizing complex plans/contracts into understandable explanations) and Knowledge (domain expertise in construction plans and contract law), with a meaningful Relational component (trusted intermediary role between parties) and some Credential value (professional standing legitimizes the explanation)."
11-9021.00,Construction Managers,General Contractor,20340,Direct and supervise construction or related workers.,4.37,10,15,45,5,5,5,15,"Directing and supervising workers is fundamentally about controlling the construction workflow (scheduling, sequencing, oversight of tasks), with significant relational accountability for team performance and project outcomes, and interpretation of on-the-ground conditions to make supervisory decisions."
11-9021.00,Construction Managers,General Contractor,20334,"Prepare contracts or negotiate revisions to contractual agreements with architects, consultants, clients, suppliers, or subcontractors.",4.2,20,30,10,5,5,5,25,"Contract negotiation with architects, consultants, and subcontractors draws heavily on interpretive judgment (reconciling competing interests, ambiguous scope, and legal/commercial terms) and relational capital (trusted long-term relationships that enable credible negotiation), with significant domain knowledge of construction law, pricing, and industry norms."
11-9021.00,Construction Managers,General Contractor,3314,"Confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems.",4.2,15,30,10,5,5,0,35,"This conferencing/negotiation task primarily earns rent through trusted long-term relationships and accountability among stakeholders (R) and the judgment required to synthesize competing perspectives and resolve ambiguous construction disputes (I), with supporting domain knowledge (K) about procedures and regulations."
11-9021.00,Construction Managers,General Contractor,3315,"Plan, organize, or direct activities concerned with the construction or maintenance of structures, facilities, or systems.",4.1,10,20,40,5,5,5,15,"Planning, organizing, and directing construction activities is primarily a process-control task (managing workflows, schedules, and resource allocation), with significant interpretation (reconciling site conditions, specs, and constraints) and relational accountability to owners and stakeholders."
11-9021.00,Construction Managers,General Contractor,3323,Study job specifications to determine appropriate construction methods.,4.05,35,45,10,0,5,5,0,"Studying job specifications to determine construction methods is primarily an interpretive act—synthesizing ambiguous spec requirements into actionable method choices—grounded heavily in domain knowledge about construction techniques, materials, and constraints."
11-9021.00,Construction Managers,General Contractor,3318,Inspect or review projects to monitor compliance with building and safety codes or other regulations.,4.0,35,25,15,5,15,3,2,"Inspecting for code compliance is primarily a knowledge-intensive task (knowing building/safety codes and regulations) combined with interpretive judgment (determining whether observed conditions meet regulatory standards), with credentials (licensure, certifications) serving as a necessary signal and process control over inspection workflow playing a secondary role."
11-9021.00,Construction Managers,General Contractor,20333,"Investigate damage, accidents, or delays at construction sites to ensure that proper construction procedures are being followed.",4.0,30,35,15,5,5,5,5,"Investigating construction incidents primarily requires domain knowledge of construction procedures and safety codes combined with interpretive judgment to diagnose root causes, assign responsibility, and determine corrective actions from ambiguous evidence."
11-9021.00,Construction Managers,General Contractor,20335,"Implement new or modified plans in response to delays, bad weather, or construction site emergencies.",4.0,15,35,30,5,5,5,5,"Responding to construction emergencies and delays requires heavy interpretive judgment (diagnosing the situation and devising adaptive plans) and process control (re-sequencing workflows, coordinating crews and resources), underpinned by domain knowledge of construction methods and constraints."
11-9021.00,Construction Managers,General Contractor,3327,Develop or implement quality control programs.,3.85,20,25,35,0,10,5,5,"Developing and implementing quality control programs is primarily about controlling the workflow and approval processes (P), with significant interpretation needed to synthesize standards, site conditions, and requirements into a coherent QC plan (I), backed by substantive construction knowledge (K) and credentialed authority (C)."
11-9021.00,Construction Managers,General Contractor,3325,Requisition supplies or materials to complete construction projects.,3.81,20,15,35,20,0,5,5,"Requisitioning supplies is primarily a process-control task (managing procurement workflows, approval chains, timing) that also draws on knowledge of material specifications/quantities and access to supplier networks and pricing channels."
11-9021.00,Construction Managers,General Contractor,3317,Determine labor requirements for dispatching workers to construction sites.,3.53,25,35,30,0,5,5,0,"Determining labor requirements draws heavily on interpreting project scope, schedules, and skill needs against available workforce, with strong process control over dispatching workflows and substantive domain knowledge of construction trades and productivity rates."
11-9021.00,Construction Managers,General Contractor,20339,"Contract or oversee craft work, such as painting or plumbing.",3.5,15,10,40,15,5,5,10,"Contracting and overseeing craft work is primarily about controlling the workflow (scheduling, directing, approving work), with meaningful knowledge of trade requirements and access to vetted subcontractors, plus relational accountability for outcomes."
11-9021.00,Construction Managers,General Contractor,19522,Inspect or review projects to monitor compliance with environmental regulations.,3.42,35,30,15,5,10,0,5,"Inspecting for environmental compliance requires substantive knowledge of regulations and interpretive judgment to assess whether site conditions meet ambiguous or complex standards, with process control over inspection workflows and credential backing the authority to make compliance determinations."
11-9021.00,Construction Managers,General Contractor,19523,"Perform, or contract others to perform, pre-building assessments, such as conceptual cost estimating, rough order of magnitude estimating, feasibility, or energy efficiency, environmental, and sustainability assessments.",3.37,25,30,25,5,5,5,5,"Pre-building assessments require deep domain knowledge (cost estimating methods, sustainability standards), heavy interpretive judgment (synthesizing site data, feasibility trade-offs), and process control (scoping, commissioning, coordinating sub-assessors), with relatively minor contributions from access, credentials, technical execution, or long-term relational capital."
11-9021.00,Construction Managers,General Contractor,19520,Develop or implement environmental protection programs.,3.35,25,20,30,5,10,5,5,"Developing and implementing environmental protection programs on construction sites centers on controlling a compliance workflow (P), drawing on regulatory and environmental knowledge (K), and synthesizing site-specific conditions into actionable plans (I), with credentials (C) validating the manager's authority to oversee such programs."
11-9021.00,Construction Managers,General Contractor,20337,Apply for and obtain all necessary permits or licenses.,3.22,20,10,25,30,10,0,5,"Obtaining permits primarily relies on Access (knowing which agencies, contacts, and submission pathways exist) and Process (managing the workflow of applications, follow-ups, and approval gates), with Knowledge of applicable regulations and codes also important, and Credential/licensure as a baseline gate."
11-9021.00,Construction Managers,General Contractor,20338,"Evaluate construction methods and determine cost-effectiveness of plans, using computer models.",3.06,25,35,10,5,10,15,0,"This task centers on synthesizing construction knowledge and ambiguous plan data into cost-effectiveness judgments (Interpretation), backed by domain expertise in construction methods (Knowledge), with meaningful technical skill in operating computer modeling tools (Technical) and credential-based authority (Credential)."
11-9021.00,Construction Managers,General Contractor,19518,Apply green building strategies to reduce energy costs or minimize carbon output or other sources of harm to the environment.,2.79,40,30,15,5,7,3,0,"Applying green building strategies is primarily knowledge-intensive (knowing which strategies, materials, and technologies reduce energy/carbon) combined with interpretive judgment in synthesizing and adapting those strategies to specific project constraints, with process control over implementation workflows playing a secondary role."
11-9021.00,Construction Managers,General Contractor,19524,"Secure third-party verification from sources, such as Leadership in Energy Efficient Design (LEED), to ensure responsible design and building activities or to achieve favorable LEED ratings for building projects.",2.62,20,15,30,20,10,0,5,"Securing LEED verification is primarily a process-control task (managing submissions, documentation pipelines, and approval gates) combined with access to the LEED certification system and knowledge of its technical requirements, with moderate interpretation of which credits apply."
11-9021.00,Construction Managers,General Contractor,19519,"Develop construction budgets to compare green and non-green construction alternatives, in terms of short-term costs, long-term costs, or environmental impacts.",2.61,35,40,10,5,5,5,0,"This task is dominated by substantive knowledge of green building costs, lifecycle analysis, and environmental metrics, combined with interpretive judgment in synthesizing and comparing alternatives across short-term, long-term, and environmental dimensions into a coherent budget recommendation."
11-9021.00,Construction Managers,General Contractor,19521,Implement training programs on environmentally responsible building topics to update employee skills and knowledge.,2.33,35,20,30,5,5,0,5,"Implementing training programs on green building topics primarily draws on domain knowledge of environmentally responsible practices, process control in designing and rolling out training workflows, and interpretation in synthesizing technical content into appropriate employee learning materials."
11-9021.00,Construction Managers,General Contractor,3331,Direct acquisition of land for construction projects.,2.27,15,20,15,30,5,5,10,"Land acquisition for construction projects is dominated by Access (knowing which parcels are available, connecting with owners/brokers, navigating off-market opportunities), with meaningful Interpretation (evaluating suitability, zoning, and deal terms) and Knowledge (land use regulations, valuation), plus Process (managing due diligence workflows) and Relational (negotiating with sellers over time)."
13-1082.00,Project Management Specialists,Owner Representative,21462,Assign duties or responsibilities to project personnel.,,10,25,35,5,5,5,15,"Assigning duties to project personnel is primarily a workflow-control (Process) and judgment-based (Interpretation) task—deciding who does what and sequencing work—with meaningful relational accountability for outcomes, and modest domain knowledge about personnel capabilities and task requirements."
13-1082.00,Project Management Specialists,Owner Representative,21463,Communicate with key stakeholders to determine project requirements and objectives.,,10,35,15,5,5,0,30,"This task is dominated by Interpretation (synthesizing and reconciling diverse stakeholder inputs into coherent requirements) and Relational (building trusted relationships with key stakeholders and being accountable for capturing their objectives accurately), with secondary Process (structuring the elicitation workflow) and Knowledge (domain understanding to ask the right questions)."
13-1082.00,Project Management Specialists,Owner Representative,21464,Confer with project personnel to identify and resolve problems.,,10,35,20,5,5,5,20,"Conferring with project personnel to identify and resolve problems is primarily about synthesizing ambiguous information to diagnose issues (Interpretation), managing the workflow of problem resolution (Process), and maintaining trusted relationships with team members and stakeholders (Relational), with modest domain knowledge supporting the diagnosis."
13-1082.00,Project Management Specialists,Owner Representative,21465,Create project status presentations for delivery to customers or project personnel.,,10,35,20,5,5,15,10,"Creating status presentations requires synthesizing disparate project data into coherent narratives (Interpretation), managing the workflow of gathering and structuring information (Process), and some technical skill in crafting clear visuals and slides, with relational accountability to stakeholders for accurate representation."
13-1082.00,Project Management Specialists,Owner Representative,21466,"Develop or update project plans including information such as objectives, technologies, schedules, funding, and staffing.",,10,30,35,5,5,5,10,"Developing/updating project plans is predominantly about controlling the planning workflow (P) and synthesizing objectives, constraints, and stakeholder inputs into a coherent document (I), with modest relational accountability for plan outcomes and baseline domain knowledge."
13-1082.00,Project Management Specialists,Owner Representative,21467,"Identify project needs such as resources, staff, or finances by reviewing project objectives and schedules.",,20,45,25,0,5,0,5,"This task is primarily about synthesizing project objectives and schedules to identify needs (Interpretation), supported by domain knowledge of resource planning and project management processes (Knowledge and Process), with minor credential and relational components."
13-1082.00,Project Management Specialists,Owner Representative,21468,"Identify, review, or select vendors or consultants to meet project needs.",,15,30,20,20,5,5,5,"Vendor/consultant selection is primarily about synthesizing competing options against ambiguous project needs (I), leveraging market knowledge of available providers (K), controlling the procurement workflow (P), and gating access to vendor networks the client cannot easily reach (A)."
13-1082.00,Project Management Specialists,Owner Representative,21469,Monitor costs incurred by project staff to identify budget issues.,,15,35,35,5,5,5,0,"Monitoring project costs for budget issues is primarily about controlling the tracking workflow (P) and interpreting variances to identify problems (I), with supporting domain knowledge of budgeting principles (K)."
13-1082.00,Project Management Specialists,Owner Representative,21470,Monitor project milestones and deliverables.,,10,20,45,5,5,5,10,"Monitoring milestones and deliverables is primarily a process-control task (tracking, flagging, coordinating workflow gates), with meaningful interpretation of status against plan, and secondary relational accountability to stakeholders."
13-1082.00,Project Management Specialists,Owner Representative,21471,Monitor the performance of project team members to provide performance feedback.,,5,30,20,0,5,0,40,"Monitoring and providing performance feedback is dominated by relational accountability (sustained trust and responsibility for team outcomes) and interpretive judgment (synthesizing observations into meaningful feedback), with process control playing a supporting role in structuring how performance is tracked."
13-1082.00,Project Management Specialists,Owner Representative,21472,Negotiate with project stakeholders or suppliers to obtain resources or materials.,,10,20,15,10,5,5,35,"Negotiating with stakeholders and suppliers is primarily a relational task built on trusted relationships and accountability, with significant interpretive judgment in synthesizing competing interests and project needs, and moderate process control over resource acquisition workflows."
13-1082.00,Project Management Specialists,Owner Representative,21473,"Plan, schedule, or coordinate project activities to meet deadlines.",,10,20,45,5,5,5,10,"Planning, scheduling, and coordinating project activities to meet deadlines is fundamentally about controlling workflows and sequencing work (Process), with meaningful judgment about priorities and trade-offs (Interpretation), and some relational accountability to stakeholders for on-time delivery."
13-1082.00,Project Management Specialists,Owner Representative,21474,"Prepare and submit budget estimates, progress reports, or cost tracking reports.",,10,25,35,5,5,15,5,"Preparing budget estimates and progress reports is primarily about controlling the structured workflow of gathering, organizing, and submitting financial/status data (P), synthesizing disparate cost and schedule inputs into coherent estimates (I), and executing the procedural formatting and tracking mechanics (T)."
13-1082.00,Project Management Specialists,Owner Representative,21475,Produce and distribute project documents.,,5,10,55,10,5,10,5,"Producing and distributing project documents is primarily a workflow-control activity—gathering, formatting, and routing information through defined channels—making Process the dominant rent channel, with modest Technical (document creation/tooling), Access (controlling who receives what information), and Interpretation (synthesizing project status into coherent documents)."
13-1082.00,Project Management Specialists,Owner Representative,21476,"Propose, review, or approve modifications to project plans.",,10,35,30,5,5,5,10,"Proposing, reviewing, and approving project plan modifications is primarily about synthesizing ambiguous project information into sound judgment (I) and controlling the approval workflow that governs project execution (P), with secondary contributions from domain knowledge and stakeholder accountability."
13-1082.00,Project Management Specialists,Owner Representative,21477,Recruit or hire project personnel.,,10,20,25,20,5,5,15,"Recruiting and hiring project personnel centers on controlling the hiring workflow (P), leveraging networks and talent pools the organization can't easily reach (A), exercising judgment on candidate fit and role requirements (I), and maintaining trusted relationships with candidates and staffing sources (R), with moderate domain knowledge of roles needed (K)."
13-1082.00,Project Management Specialists,Owner Representative,21478,"Report project status, such as budget, resources, technical issues, or customer satisfaction, to managers.",,10,30,20,5,5,5,25,"Reporting project status requires synthesizing and interpreting multiple data streams (budget, resources, issues, satisfaction) into coherent narratives for managers, while the ongoing accountability and trust relationship with stakeholders drives significant relational rent, and process control over information flow adds moderate weight."
13-1082.00,Project Management Specialists,Owner Representative,21479,Request and review project updates to ensure deadlines are met.,,5,20,45,5,5,5,15,"This task is fundamentally about controlling the workflow (requesting updates, tracking deadlines, enforcing gates), with meaningful interpretation in synthesizing status information to judge whether progress is on track, and relational accountability for ensuring the project delivers on time."
13-1082.00,Project Management Specialists,Owner Representative,21480,Schedule or facilitate project meetings.,,5,15,55,5,5,5,10,"Scheduling and facilitating project meetings is primarily a Process rent task—controlling when stakeholders convene, setting agendas, and managing workflow cadence—with moderate Interpretation for synthesizing discussion and driving decisions, and minor Relational value for sustaining stakeholder trust."
13-1082.00,Project Management Specialists,Owner Representative,21481,"Submit project deliverables to clients, ensuring adherence to quality standards.",,5,15,35,5,5,10,25,"Submitting deliverables while ensuring quality adherence is primarily a process control task (managing approval gates, QA checks, handoff workflows) with strong relational weight (accountability to clients for outcomes and trust), and moderate interpretation (judging whether deliverables meet standards)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20483,Develop final construction plans that include aesthetic representations of the structure or details for its construction.,4.48,15,20,10,0,15,35,5,"Developing final construction plans is dominated by technical execution (drafting precise drawings, CAD/BIM work, detailing), with meaningful interpretation of design intent into buildable specifications, knowledge of construction systems and codes, and credential requirements for stamping/signing drawings."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20479,"Prepare scale drawings or architectural designs, using computer-aided design or other tools.",4.43,10,15,10,0,10,50,5,"Preparing scale drawings and architectural designs using CAD tools is primarily a technical execution task requiring embodied skill in drafting software and spatial representation, with secondary interpretation (translating design intent into precise drawings) and modest credential value."
17-1011.00,"Architects, Except Landscape and Naval",Designer,130,"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.",4.4,25,30,15,5,10,12,3,"Preparing design specifications and cost/construction documentation requires synthesizing multiple technical domains (interpretation) and drawing on deep architectural knowledge, with meaningful technical execution in producing detailed specification documents and process control over the documentation workflow."
17-1011.00,"Architects, Except Landscape and Naval",Designer,131,Consult with clients to determine functional or spatial requirements of structures.,4.38,15,35,10,5,10,5,20,"This client consultation task centers on interpreting vague or conflicting client needs into coherent spatial/functional requirements, drawing heavily on relational trust to elicit honest client input, with supporting knowledge of architectural possibilities and modest credential signaling that legitimizes the conversation."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20481,Meet with clients to review or discuss architectural drawings.,4.38,20,25,10,5,10,5,25,"Meeting with clients to review architectural drawings is primarily relational (building trust, accountability) and interpretive (reconciling client needs with design intent), with meaningful knowledge rent as the architect explains technical content the client lacks."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20485,"Monitor the work of specialists, such as electrical engineers, mechanical engineers, interior designers, or sound specialists to ensure optimal form or function of designs or final structures.",4.33,20,25,35,5,5,5,5,"Monitoring specialists to ensure optimal form/function is primarily about controlling the workflow and approval process (P), synthesizing cross-disciplinary inputs and making judgment calls on design conflicts (I), and applying substantive knowledge of multiple engineering domains (K)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,136,Integrate engineering elements into unified architectural designs.,4.33,25,40,10,0,10,15,0,"Integrating engineering elements into architectural designs is primarily an interpretive act—reconciling structural, mechanical, and electrical constraints with aesthetic and spatial intent—drawing heavily on domain knowledge and embodied technical skill in drafting/modeling, with credential underpinning the professional authority to do so."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20486,Plan layouts of structural architectural projects.,4.25,20,35,15,0,10,15,5,"Planning structural architectural layouts is dominated by interpretive judgment—synthesizing client needs, site constraints, building codes, and spatial logic into coherent designs—alongside substantive knowledge of structural systems and technical execution in producing detailed layout drawings."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20484,Conduct periodic on-site observations of construction work to monitor compliance with plans.,4.2,30,35,15,0,10,5,5,"Site observation for compliance monitoring primarily rewards deep knowledge of construction standards and plans combined with interpretive judgment about whether observed conditions meet design intent, with process control over compliance checkpoints and credential authority underpinning the inspector's findings."
17-1011.00,"Architects, Except Landscape and Naval",Designer,134,Prepare contract documents for building contractors.,4.1,20,15,25,5,20,10,5,"Preparing contract documents is primarily a process-control task (managing document sets, specifications, conditions) requiring substantial credentialed knowledge of building codes and legal standards, with interpretation of project-specific requirements into contractual language."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19596,"Plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations.",4.1,20,30,15,5,15,10,5,"Architectural design planning is dominated by Interpretation (synthesizing client needs, site constraints, and regulatory requirements into coherent design solutions) and Knowledge (building codes, structural principles, environmental regulations), with meaningful weight on Credential (licensure gatekeeps who can legally stamp drawings) and Process (managing design development workflows and approval stages)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20480,Direct activities of technicians engaged in preparing drawings or specification documents.,4.0,10,15,50,5,10,5,5,"Directing technicians in preparing drawings/specs is primarily about controlling the workflow and approval process (P), with secondary emphasis on interpretation of design intent into actionable direction (I) and knowledge of architectural standards (K)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,138,Administer construction contracts.,3.94,15,20,35,5,15,5,5,"Administering construction contracts is primarily a process-control task (managing approvals, change orders, payment certifications, and compliance checkpoints), requiring substantial knowledge of contract law and construction norms, interpretive judgment on disputes or ambiguities, and credentialed authority as the licensed architect overseeing the work."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20488,"Create three-dimensional or interactive representations of designs, using computer-assisted design software.",3.79,10,20,10,0,5,50,5,"Creating 3D/interactive CAD representations is primarily a technical execution task (hands-on CAD modeling skill), with meaningful interpretation in translating design intent into spatial representations, and modest knowledge of architectural conventions and software capabilities."
17-1011.00,"Architects, Except Landscape and Naval",Designer,139,Represent clients in obtaining bids or awarding construction contracts.,3.71,10,15,25,20,15,5,10,"Representing clients in bidding/contracting is primarily about controlling the procurement workflow (P), leveraging access to contractor networks and bid processes the client can't easily reach (A), with credential signaling to contractors (C) and interpretation of bids/proposals (I)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20482,"Develop marketing materials, proposals, or presentations to generate new work opportunities.",3.57,10,20,15,5,15,10,25,"Developing marketing materials and proposals for new work is fundamentally relational (leveraging reputation and trusted relationships to win clients), interpretive (synthesizing client needs into compelling narratives), and process-driven (managing proposal workflows), with credential signals and domain knowledge playing supporting roles."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19595,"Perform predesign services, such as feasibility or environmental impact studies.",3.35,25,35,15,5,10,5,5,"Predesign feasibility and environmental impact studies are dominated by synthesizing ambiguous site, regulatory, and program data into actionable judgments (Interpretation) supported by deep domain knowledge of codes, environmental factors, and construction economics (Knowledge), with meaningful workflow control over the study process (Process) and credential legitimacy (Credential)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19593,"Design structures that incorporate environmentally friendly building practices or concepts, such as Leadership in Energy and Environmental Design (LEED) standards.",3.06,35,30,10,5,15,5,0,"Designing LEED-compliant structures draws heavily on specialized knowledge of green building standards and materials, combined with interpretive judgment in synthesizing environmental requirements into coherent design solutions, with credential value from LEED certification and architectural licensure signaling competence to clients."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19592,Design or plan construction of green building projects to minimize adverse environmental impact or conserve energy.,3.0,30,35,10,5,10,5,5,"Green building design heavily rewards specialized knowledge (sustainability systems, materials, codes) and interpretive judgment (reconciling environmental goals with client needs, site constraints, and design intent), with credentials playing a supporting role in client trust."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19594,Gather information related to projects' environmental sustainability or operational efficiency.,2.95,35,30,15,10,5,3,2,"Gathering sustainability/efficiency information is primarily driven by domain knowledge of what data matters and interpretation/synthesis of diverse sources, with process control over the research workflow and some access to specialized databases or expert networks."
17-1011.00,"Architects, Except Landscape and Naval",Designer,20487,Inspect proposed building sites to determine suitability for construction.,2.89,35,30,5,5,15,10,0,"Site inspection for construction suitability draws primarily on domain knowledge (soil conditions, zoning, drainage, structural constraints) and interpretive judgment to synthesize observed conditions into a suitability determination, with credential weight reflecting that only licensed architects can formally certify such assessments."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19591,"Design environmentally sound structural upgrades to existing buildings, such as natural lighting systems, green roofs, or rainwater collection systems.",2.83,30,35,10,5,10,8,2,"Designing green building upgrades requires deep knowledge of sustainable systems (K) heavily synthesized through interpretive judgment to reconcile site conditions, performance targets, and design constraints (I), with credential signaling the licensed competence to stamp such work (C) and some process control over the design workflow (P)."
17-1011.00,"Architects, Except Landscape and Naval",Designer,19590,Calculate potential energy savings by comparing estimated energy consumption of proposed design to baseline standards.,2.59,35,30,5,5,10,15,0,"This task draws heavily on domain knowledge of energy systems and baseline standards, interpretation in synthesizing and comparing estimates against benchmarks, and technical skill in running energy consumption calculations, with credentials providing some authority to the analysis."
17-1011.00,"Architects, Except Landscape and Naval",Designer,140,"Prepare operating and maintenance manuals, studies, or reports.",2.55,30,25,20,5,10,8,2,"Preparing manuals, studies, and reports draws heavily on architectural domain knowledge (K) and interpretive synthesis of complex building systems and requirements (I), with meaningful process control over document structure and workflow (P), and credential backing for the authority of the content (C)."
